Sample,Experiment,DPH,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-085t,exp2,10,pH 7.5,2200uatm,24C,7.52,0.04,2043,NA,23.9,0.2,31,8.14,0.17,23.8,0.5,2022,NA,2020,NA,2036.7,NA,42.6,NA
2016-086t,exp2,10,pH 7.5,2200uatm,24C,7.52,0.04,2043,NA,23.9,0.2,31,8.14,0.17,23.8,0.5,2022,NA,2020,NA,2036.7,NA,42.6,NA
2016-087t,exp2,10,pH 7.5,2200uatm,24C,7.52,0.04,2043,NA,23.9,0.2,31,8.14,0.17,23.8,0.5,2022,NA,2020,NA,2036.7,NA,42.6,NA
2016-088t,exp2,10,pH 7.5,2200uatm,24C,7.52,0.04,2043,NA,23.9,0.2,31,8.14,0.17,23.8,0.5,2022,NA,2020,NA,2036.7,NA,42.6,NA
2016-089t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-090t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-091t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-092t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-093t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-094t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-095t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-096t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-097t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-098t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-099t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-100t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-101t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-102t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-103t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-104t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-105t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-106t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-107t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-108t,exp2,10,pH 7.2,4200uatm,24C,7.21,0.07,4310,NA,24,0.3,31,8.37,0.14,24.5,0.4,2031,NA,2127,NA,4295.7,NA,21.6,NA
2016-109t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-110t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-111t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-112t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-113t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-114t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-115t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-116t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-117t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-118t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-119t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-120t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-121t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
2016-122t,exp2,12,pH 8.2,400uatm,20C,8.13,0.06,373,NA,20.2,0.3,31,8.94,0.11,24.5,0.3,2038,NA,1827,NA,371.5,NA,150.3,NA
