Sample,Experiment,DPH,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-202t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-203t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-204t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-205t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-206t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-207t,exp2,15,pH 7.5,2200uatm,17C,7.47,0.09,1869,NA,17.1,0.2,31,8.88,0.12,23,0.3,2023,NA,2037,NA,1862.6,NA,35.3,NA
2016-208t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-209t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-210t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-211t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-212t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-213t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-214t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-215t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-216t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-217t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-218t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-219t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-220t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-221t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-222t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-223t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-224t,exp2,15,pH 7.2,4200uatm,17C,7.22,0.07,4200,NA,17,0.2,31,8.98,0.12,23.2,0.3,2044,NA,2159,NA,3921.6,NA,17.8,NA
2016-225t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-226t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-227t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-228t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-229t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-230t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-231t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-232t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-233t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-234t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-235t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-236t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-237t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-238t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-239t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-240t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-241t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-242t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-243t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-244t,exp3,10,pH 8.2,400uatm,24C,8.22,0.02,331,14,23.7,0.2,31,7.55,0.17,22,0.5,2044,9,1798,8,330,14,185,5
2016-245t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-246t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-247t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-248t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-249t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-250t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-251t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-252t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-253t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-254t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-255t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-256t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-257t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-258t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-259t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-260t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-261t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-262t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-263t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-264t,exp3,10,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-266t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-267t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-268t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-269t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-270t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-271t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-272t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-273t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-274t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-275t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-276t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-277t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-278t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-279t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-280t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-281t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-282t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-283t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-284t,exp3,10,pH 7.2,4200uatm,24C,7.2,0.02,4339,169,23.6,0.2,31,7.98,0.14,23.2,0.4,2059,51,2140,8,4325,169,22,1
2016-285t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-286t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-287t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-288t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-289t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-290t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-291t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-292t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-293t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-294t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-295t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-296t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-297t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-298t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-299t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-300t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-301t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-302t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-303t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-304t,exp3,14,pH 8.2,400uatm,20C,8.2,0.02,345,15,19.7,0.2,31,8.69,0.15,23.6,0.4,2048,29,1833,3,345,15,160,6
2016-305t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-306t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-307t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-308t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-309t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-310t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-311t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-312t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-313t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-314t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-315t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-316t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-317t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-318t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-319t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-320t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-321t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-322t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-323t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-324t,exp3,14,pH 7.5,2200uatm,20C,7.51,0.03,1964,109,19.6,0.3,31,8.33,0.15,22.6,0.4,2031,14,2039,10,1957,108,38,2
2016-325t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-326t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-327t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-328t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-329t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-330t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-331t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-332t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-333t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-334t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-335t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-336t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-337t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-338t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-339t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-340t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-341t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-342t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-343t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-344t,exp3,14,pH 7.2,4200uatm,20C,7.21,0.02,4066,227,19.7,0.2,31,8.13,0.18,22.1,0.5,2058,6,2153,37,4063,226,20,1
2016-345t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-346t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-347t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-348t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-349t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-350t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-351t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-352t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-353t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-354t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-355t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-356t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-357t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-358t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-359t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-360t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-361t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-362t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
2016-363t,exp3,23,pH 8.2,400uatm,17C,8.22,0.01,322,12,17.4,0.2,31,8.26,0.12,21.5,0.3,2054,8,1838,26,321,12,153,2
