Experiment,Year,Sample,FrontArea1um,FrontArea1mm,FrontCount1,BackArea1um,BackArea1mm,BackCount1,FrontDensity1um,FrontDensity1mm,BackDensity1um,BackDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,FrontArea2um,FrontArea2mm,FrontCount2,BackArea2um,BackArea2mm,BackCount2,FrontDensity2um,FrontDensity2mm,BackDensity2um,BackDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageFrontDensityum,SDFrontum,AverageFrontDensitymm,SDFrontmm,AverageBackDensityum,SDBackum,AverageBackDensitymm,SDBackmm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp3,2016,2016-256t,1558790,1.55879,340,899552,0.899552,216,0.000218118,218.1178991,0.00024012,240.1195262,2458342,2.458342,556,0.000226169,226.1686942,1606226,1.606226,381,1143975,1.143975,305,0.000237202,237.2019878,0.000266614,266.614218,2750201,2.750201,686,0.000249436,249.4363139,0.00022766,1.35E-05,227.6599435,1.35E+01,0.000253367,1.87E-05,253.3668721,18.73457624,0.000237803,1.64527E-05,237.8025041,16.4526917
exp3,2016,2016-257t,1646678,1.646678,477,869913,0.869913,336,0.000289674,289.6741197,0.000386246,386.2455211,2516591,2.516591,813,0.000323056,323.0560707,1713127,1.713127,529,1051438,1.051438,441,0.000308792,308.792051,0.000419426,419.4255867,2764565,2.764565,970,0.000350869,350.8689432,0.000299233,1.35E-05,299.2330853,1.35E+01,0.000402836,2.35E-05,402.8355539,23.46184936,0.000336963,1.96667E-05,336.962507,19.66667077
exp3,2016,2016-258t,1196867,1.196867,227,744466,0.744466,138,0.000189662,189.6618421,0.000185368,185.367767,1941333,1.941333,365,0.000188015,188.0151422,1257894,1.257894,230,974631,0.974631,176,0.000182845,182.8452954,0.000180581,180.5811635,2232525,2.232525,406,0.000181857,181.8568661,0.000186254,4.82E-06,186.2535688,4.82E+00,0.000182974,3.38E-06,182.9744653,3.384639741,0.000184936,4.35456E-06,184.9360041,4.354558768
exp3,2016,2016-259t,1104001,1.104001,281,705259,0.705259,97,0.000254529,254.528755,0.000137538,137.5381243,1809260,1.80926,378,0.000208925,208.9251959,1229627,1.229627,406,959336,0.959336,121,0.000330181,330.181429,0.000126129,126.1289058,2188963,2.188963,527,0.000240753,240.7532699,0.000292355,5.35E-05,292.355092,5.35E+01,0.000131834,8.07E-06,131.8335151,8.067535745,0.000224839,2.25058E-05,224.8392329,22.50584695
exp3,2016,2016-260t,1617682,1.617682,360,1006333,1.006333,202,0.000222541,222.5406477,0.000200729,200.7287846,2624015,2.624015,562,0.000214176,214.1756049,1737686,1.737686,452,1146473,1.146473,228,0.000260116,260.1160394,0.000198871,198.8707977,2884159,2.884159,680,0.000235771,235.7706354,0.000241328,2.66E-05,241.3283435,2.66E+01,0.0001998,1.31E-06,199.7997911,1.313795173,0.000224973,1.527E-05,224.9731202,15.26999247
exp3,2016,2016-261t,1535277,1.535277,339,1110551,1.110551,177,0.000220807,220.8070596,0.00015938,159.3803436,2645828,2.645828,516,0.000195024,195.0240152,1546694,1.546694,357,1226184,1.226184,207,0.000230815,230.8148865,0.000168816,168.8164256,2772878,2.772878,564,0.000203399,203.3987792,0.000225811,7.08E-06,225.810973,7.08E+00,0.000164098,6.67E-06,164.0983846,6.672317543,0.000199211,5.92185E-06,199.2113972,5.921852421
exp3,2016,2016-262t,1587041,1.587041,279,772646,0.772646,176,0.000175799,175.7988609,0.000227789,227.7886639,2359687,2.359687,455,0.000192822,192.8221836,1701690,1.70169,253,1127894,1.127894,320,0.000148676,148.6757282,0.000283715,283.7146044,2829584,2.829584,573,0.000202503,202.5032655,0.000162237,1.92E-05,162.2372946,1.92E+01,0.000255752,3.95E-05,255.7516341,39.54561177,0.000197663,6.84556E-06,197.6627246,6.845558645
exp3,2016,2016-263t,1178290,1.17829,403,785396,0.785396,96,0.000342021,342.0210644,0.000122231,122.231333,1963686,1.963686,499,0.000254114,254.1139469,1237871,1.237871,442,912784,0.912784,169,0.000357065,357.0646699,0.000185148,185.1478554,2150655,2.150655,611,0.000284099,284.0994953,0.000349543,1.06E-05,349.5428672,1.06E+01,0.00015369,4.45E-05,153.6895942,44.48869962,0.000269107,2.1203E-05,269.1067211,21.20298457
exp3,2016,2016-264t,2019933,2.019933,559,1174529,1.174529,287,0.000276742,276.7418523,0.000244353,244.3532684,3194462,3.194462,846,0.000264833,264.8333272,1969831,1.969831,592,1325209,1.325209,380,0.000300533,300.533396,0.000286747,286.7472225,3295040,3.29504,972,0.000294989,294.9888317,0.000288638,1.68E-05,288.6376242,1.68E+01,0.00026555,3.00E-05,265.5502455,29.97705242,0.000279911,2.13232E-05,279.9110794,21.32316174
exp3,2016,2016-266t,2163767,2.163767,587,917575,0.917575,156,0.000271286,271.2861413,0.000170013,170.0133504,3081342,3.081342,743,0.000241129,241.128703,2193537,2.193537,620,1182352,1.182352,185,0.000282649,282.6485261,0.000156468,156.4677862,3375889,3.375889,805,0.000238456,238.4557075,0.000276967,8.03E-06,276.9673337,8.03E+00,0.000163241,9.58E-06,163.2405683,9.578160276,0.000239792,1.89009E-06,239.7922053,1.89009324
exp3,2016,2016-267t,2724539,2.724539,630,1339052,1.339052,298,0.000231232,231.231779,0.000222546,222.5455023,4063591,4.063591,928,0.000228369,228.3694397,2796397,2.796397,636,1441685,1.441685,283,0.000227436,227.4355179,0.000196298,196.2980818,4238082,4.238082,919,0.000216843,216.843374,0.000229334,2.68E-06,229.3336485,2.68E+00,0.000209422,1.86E-05,209.421792,18.55972908,0.000222606,8.15016E-06,222.6064068,8.150159273
exp3,2016,2016-268t,1744807,1.744807,571,881429,0.881429,230,0.000327257,327.2568255,0.00026094,260.9399055,2626236,2.626236,801,0.000304999,304.9992461,1799022,1.799022,604,1026153,1.026153,264,0.000335738,335.7379732,0.000257272,257.2715765,2825175,2.825175,868,0.000307238,307.2376048,0.000331497,6.00E-06,331.4973994,6.00E+00,0.000259106,2.59E-06,259.105741,2.593900367,0.000306118,1.58276E-06,306.1184254,1.582758602
exp3,2016,2016-269t,1035998,1.035998,350,711973,0.711973,183,0.000337838,337.83849,0.000257032,257.0322189,1747971,1.747971,533,0.000304925,304.9249673,970134,0.970134,371,891109,0.891109,250,0.000382421,382.4213975,0.000280549,280.5492931,1861243,1.861243,621,0.000333648,333.6479976,0.00036013,3.15E-05,360.1299437,3.15E+01,0.000268791,1.66E-05,268.790756,16.62908261,0.000319286,2.03102E-05,319.2864824,20.31024951
exp3,2016,2016-270t,1686010,1.68601,349,1037472,1.037472,163,0.000206998,206.997586,0.000157113,157.1126739,2723482,2.723482,512,0.000187995,187.9946333,1647187,1.647187,347,1354453,1.354453,216,0.000210662,210.6621774,0.000159474,159.4739721,3001640,3.00164,563,0.000187564,187.5641316,0.00020883,2.59E-06,208.8298817,2.59E+00,0.000158293,1.67E-06,158.293323,1.669690016,0.000187779,3.04411E-07,187.7793825,0.304410694
exp3,2016,2016-271t,1747741,1.747741,522,983969,0.983969,216,0.000298671,298.6712562,0.000219519,219.5191109,2731710,2.73171,738,0.00027016,270.1604489,1688284,1.688284,501,1229469,1.229469,295,0.000296751,296.7510206,0.000239941,239.9409827,2917753,2.917753,796,0.000272813,272.8126747,0.000297711,1.36E-06,297.7111384,1.36E+00,0.00022973,1.44E-05,229.7300468,14.44044402,0.000271487,1.87541E-06,271.4865618,1.875406803
exp3,2016,2016-272t,948119,0.948119,223,596145,0.596145,89,0.000235203,235.2025431,0.000149293,149.2925379,1544264,1.544264,312,0.000202038,202.0379935,901563,0.901563,183,802371,0.802371,88,0.000202981,202.9808233,0.000109675,109.6749509,1703934,1.703934,271,0.000159044,159.0437188,0.000219092,2.28E-05,219.0916832,2.28E+01,0.000129484,2.80E-05,129.4837444,28.01386444,0.000180541,3.04015E-05,180.5408562,30.40154317
exp3,2016,2016-273t,1829131,1.829131,374,964050,0.96405,98,0.000204469,204.4686794,0.000101654,101.6544785,2793181,2.793181,472,0.000168983,168.9829624,1712906,1.712906,317,1205998,1.205998,137,0.000185066,185.0656136,0.000113599,113.5988617,2918904,2.918904,454,0.000155538,155.537832,0.000194767,1.37E-05,194.7671465,1.37E+01,0.000107627,8.45E-06,107.6266701,8.445954349,0.00016226,9.50714E-06,162.2603972,9.507142899
exp3,2016,2016-274t,2398130,2.39813,495,1359458,1.359458,398,0.000206411,206.4108284,0.000292764,292.7637338,3757588,3.757588,893,0.000237652,237.6524515,2228801,2.228801,447,1489644,1.489644,436,0.000200556,200.5562632,0.000292687,292.6873803,3718445,3.718445,883,0.000237465,237.4648543,0.000203484,4.14E-06,203.4835458,4.14E+00,0.000292726,5.40E-08,292.7255571,0.053990036,0.000237559,1.32651E-07,237.5586529,0.132651294
exp3,2016,2016-275t,2136511,2.136511,453,1218151,1.218151,133,0.000212028,212.0279278,0.000109182,109.1818666,3354662,3.354662,586,0.000174682,174.682278,2088966,2.088966,475,1445442,1.445442,140,0.000227385,227.3852231,9.68562E-05,96.85618655,3534408,3.534408,615,0.000174004,174.0036804,0.000219707,1.09E-05,219.7065754,1.09E+01,0.000103019,8.72E-06,103.0190266,8.715571957,0.000174343,4.79841E-07,174.3429792,0.479840955
exp3,2016,2016-276t,1569992,1.569992,373,788038,0.788038,82,0.000237581,237.5808284,0.000104056,104.0558958,2358030,2.35803,455,0.000192958,192.9576808,1688239,1.688239,455,1075472,1.075472,158,0.000269512,269.5116035,0.000146912,146.9122395,2763711,2.763711,613,0.000221803,221.8032204,0.000253546,2.26E-05,253.546216,2.26E+01,0.000125484,3.03E-05,125.4840676,30.30401123,0.00020738,2.03969E-05,207.3804506,20.39687666
exp3,2016,2016-277t,1444426,1.444426,335,885429,0.885429,202,0.000231926,231.9260384,0.000228138,228.1379986,2329855,2.329855,537,0.000230486,230.4864466,1438131,1.438131,340,1024438,1.024438,248,0.000236418,236.4179619,0.000242084,242.0839524,2462569,2.462569,588,0.000238775,238.7750353,0.000234172,3.18E-06,234.1720002,3.18E+00,0.000235111,9.86E-06,235.1109755,9.861278452,0.000234631,5.86092E-06,234.630741,5.860917317
exp3,2016,2016-278t,2200697,2.200697,542,1090314,1.090314,279,0.000246286,246.2856086,0.00025589,255.8895878,3291011,3.291011,821,0.000249467,249.4674129,2023614,2.023614,465,1265750,1.26575,374,0.000229787,229.786906,0.000295477,295.4769899,3289364,3.289364,839,0.000255065,255.0645049,0.000238036,1.17E-05,238.0362573,1.17E+01,0.000275683,2.80E-05,275.6832888,27.99252051,0.000252266,3.95774E-06,252.2659589,3.957741687
exp3,2016,2016-279t,2234228,2.234228,525,1069415,1.069415,295,0.00023498,234.9804944,0.000275852,275.8517507,3303643,3.303643,820,0.000248211,248.2108388,2207338,2.207338,511,1341326,1.341326,390,0.000231501,231.5005677,0.000290757,290.7570568,3548664,3.548664,901,0.000253898,253.8983685,0.000233241,2.46E-06,233.240531,2.46E+00,0.000283304,1.05E-05,283.3044038,10.53964302,0.000251055,4.02169E-06,251.0546036,4.021690855
exp3,2016,2016-280t,1369580,1.36958,190,717074,0.717074,128,0.000138729,138.7286613,0.000178503,178.5031949,2086654,2.086654,318,0.000152397,152.3970912,1354166,1.354166,167,840232,0.840232,112,0.000123323,123.3231376,0.000133297,133.2965181,2194398,2.194398,279,0.000127142,127.1419314,0.000131026,1.09E-05,131.0258995,1.09E+01,0.0001559,3.20E-05,155.8998565,31.96594774,0.00013977,1.78581E-05,139.7695113,17.85809477
exp3,2016,2016-281t,980896,0.980896,287,662279,0.662279,155,0.00029259,292.5896323,0.00023404,234.0403365,1643175,1.643175,442,0.000268991,268.9914343,984107,0.984107,299,808011,0.808011,175,0.000303829,303.8287503,0.000216581,216.5812099,1792118,1.792118,474,0.000264492,264.4915123,0.000298209,7.95E-06,298.2091913,7.95E+00,0.000225311,1.23E-05,225.3107732,12.34546679,0.000266741,3.18193E-06,266.7414733,3.181925353
exp3,2016,2016-282t,3474665,3.474665,796,3006594,3.006594,448,0.000229087,229.0868328,0.000149006,149.0058185,6481259,6.481259,1244,0.000191938,191.938017,2680554,2.680554,537,2100984,2.100984,250,0.000200332,200.3317225,0.000118992,118.9918629,4781538,4.781538,787,0.000164591,164.591393,0.000214709,2.03E-05,214.7092777,2.03E+01,0.000133999,2.12E-05,133.9988407,21.22307159,0.000178265,1.9337E-05,178.264705,19.33698327
exp3,2016,2016-283t,1343165,1.343165,144,763953,0.763953,102,0.000107209,107.2094642,0.000133516,133.5160671,2107118,2.107118,246,0.000116747,116.7471399,1335074,1.335074,130,994212,0.994212,119,9.73729E-05,97.37287971,0.000119693,119.6927818,2329286,2.329286,249,0.0001069,106.8997109,0.000102291,6.96E-06,102.291172,6.96E+00,0.000126604,9.77E-06,126.6044245,9.77453875,0.000111823,6.96318E-06,111.8234254,6.963183847
