Sample,Experiment,MO2,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-032,exp1,0.008219575,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-033,exp1,0.017837728,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-034,exp1,NA,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-035,exp1,0.020554922,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-036,exp1,0.008542612,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-037,exp1,0.033954427,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-038,exp1,0.02600138,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-039,exp1,0.023016795,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-040,exp1,NA,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-041,exp1,0.025321616,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-042,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-043,exp1,0.029065223,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-044,exp1,0.0173444,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-046,exp1,0.017788668,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-048,exp1,0.028046021,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-049,exp1,0.025432683,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-050,exp1,NA,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-051,exp1,0.035291502,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-052,exp1,0.01005972,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-053,exp1,NA,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-054,exp1,0.005937178,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-055,exp1,0.022852011,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-056,exp1,0.029757758,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-057,exp1,0.014410928,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-058,exp1,0.003774641,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-059,exp1,0.018317869,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-060,exp1,0.026798152,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-061,exp1,0.020127606,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-062,exp1,0.029796958,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-063,exp1,0.003428373,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-064,exp1,0.031417228,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-065,exp1,0.025373883,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-066,exp1,0.016011598,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-067,exp1,0.020669874,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-068,exp1,0.011294522,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-069,exp1,0.023132945,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-070,exp1,0.025060282,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-071,exp1,0.036075504,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-072,exp1,0.01377066,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-073,exp1,NA,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-074,exp1,0.037388706,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-075,exp1,0.034030566,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-076,exp1,0.047384726,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-077,exp1,0.023956147,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-078,exp1,0.029659758,pH 7.5,2200uatm,24C,7.49,0.12,2190,277,23.6,0.3,30,7.34,NA,21.2,NA,2041,11,2048,7,2183,276,5,5
2016-080,exp1,0.020277873,pH 8.2,400uatm,24C,8.13,0.09,427,29,23.5,0.3,30,7.34,NA,21.2,NA,2042,11,1838,16,426,29,150,7
2016-161,exp1,0.028776674,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-162,exp1,0.012531785,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-163,exp1,0.016882989,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-164,exp1,0.024953758,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-165,exp1,0.025959231,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-166,exp1,0.0278767,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-167,exp1,0.011005421,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-168,exp1,0.041192149,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-169,exp1,0.026994716,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-170,exp1,0.015771086,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-171,exp1,0.01358942,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-172,exp1,0.020501542,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-173,exp1,0.04053563,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
