Experiment,Year,Run,Sample,Side1,YolkArea1px,YolkArea1um,YolkArea1mm,YolkCount1,BodyArea1px,BodyArea1um,BodyArea1mm,BodyCount1,YolkDensity1um,YolkDensity1mm,BodyDensity1um,BodyDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,Side2,YolkArea2px,YolkArea2um,YolkArea2mm,YolkCount2,BodyArea2px,BodyArea2um,BodyArea2mm,BodyCount2,YolkDensity2um,YolkDensity2mm,BodyDensity2um,BodyDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageYolkDensityum,SDYolkum,AverageYolkDensitymm,SDYolkmm,AverageBodyDensityum,SDBodyum,AverageBodyDensitymm,SDBodymm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp3,2016,run14,2016-514,L,259206,230664.4305,0.23066443,44,534428,475581.3147,0.475581315,119,0.000190753,190.7532943,0.00025022,250.2200913,706245.7451,0.706245745,163,0.000230798,230.7978506,L,267838,238345.9477,0.238345948,10,583965,519663.7198,0.51966372,57,4.20E-05,41.95582134,0.000109686,109.686318,758009.6675,0.758009667,67,8.84E-05,88.38937401,0.000116355,0.000105216,116.3545578,105.2157022,0.000179953,9.94E-05,179.9532047,99.37238414,0.000159594,0.000100698,159.5936123,100.6979995
exp3,2016,run14,2016-516,L,176261,156852.6314,0.156852631,137,756448,673154.3525,0.673154353,325,0.000873431,873.4313142,0.000482802,482.8016023,830006.984,0.830006984,462,0.000556622,556.6218224,L,193811,172470.1741,0.172470174,87,882426,785260.7221,0.785260722,239,0.000504435,504.435045,0.000304358,304.3575125,957730.8961,0.957730896,326,0.000340388,340.3878911,0.000688933,0.00026092,688.9331796,260.9197642,0.00039358,0.000126179,393.5795574,126.179026,0.000448505,0.0001529,448.5048568,152.9004791
exp3,2016,run14,2016-517,R,184731,164389.9868,0.164389987,150,495103,440586.4506,0.440586451,309,0.000912464,912.4643353,0.000701338,701.3379544,604976.4374,0.604976437,459,0.000758707,758.7072349,R,196677,175020.5944,0.175020594,91,694499,618026.6518,0.618026652,156,0.000519939,519.9388124,0.000252416,252.4162988,793047.2462,0.793047246,247,0.000311457,311.4568535,0.000716202,0.000277557,716.2015739,277.5574591,0.000476877,0.000317436,476.8771266,317.4355469,0.000535082,0.000316254,535.0820442,316.2537776
exp3,2016,run14,2016-518,L,183509,163302.543,0.163302543,35,331943,295392.248,0.295392248,14,0.000214326,214.3261173,4.74E-05,47.39460867,458694.7911,0.458694791,49,0.000106825,106.8248451,L,217632,193668.2073,0.193668207,11,471379,419474.7366,0.419474737,3,5.68E-05,56.79817124,7.15E-06,7.15180138,613142.9439,0.613142944,14,2.28E-05,22.83317478,0.000135562,0.000111389,135.5621443,111.3890789,2.73E-05,2.85E-05,27.27320503,28.45596193,6.48E-05,5.94E-05,64.82900993,59.39107964
exp3,2016,run14,2016-519,R,139952,124541.671,0.124541671,49,593964,528561.7146,0.528561715,311,0.000393443,393.4426093,0.000588389,588.3891917,653103.3856,0.653103386,360,0.000551214,551.2144141,R,176608,157161.4227,0.157161423,28,734244,653395.269,0.653395269,203,0.000178161,178.1607695,0.000310685,310.684833,810556.6917,0.810556692,231,0.000284989,284.9893195,0.000285802,0.000152227,285.8016894,152.2272488,0.000449537,0.000196367,449.5370123,196.3666352,0.000418102,0.00018825,418.1018668,188.2495697
exp3,2016,run14,2016-520,L,189762,168867.0156,0.168867016,64,606373,539604.3406,0.539604341,197,0.000378996,378.9964533,0.000365082,365.0823116,708471.3562,0.708471356,261,0.000368399,368.3988036,R,281103,250150.3183,0.250150318,32,657432,585041.1559,0.585041156,110,0.000127923,127.9230833,0.000188021,188.0209604,835191.4742,0.835191474,142,0.000170021,170.0208927,0.00025346,0.000177536,253.4597683,177.5356825,0.000276552,0.000125201,276.551636,125.2012821,0.00026921,0.000140274,269.2098481,140.274366
exp3,2016,run14,2016-521,L,273636,243505.5211,0.243505521,64,460342,409653.0376,0.409653038,151,0.000262828,262.8277162,0.000368605,368.6046145,653158.5586,0.653158559,215,0.00032917,329.1696896,L,299230,266281.3266,0.266281327,29,607408,540525.3751,0.540525375,69,0.000108907,108.9073739,0.000127654,127.6535815,806806.7017,0.806806702,98,0.000121467,121.4665171,0.000185868,0.000108838,185.8675451,108.8381178,0.000248129,0.000170378,248.129098,170.3781094,0.000225318,0.000146868,225.3181033,146.8683218
exp3,2016,run14,2016-522,L,144104,128236.4879,0.128236488,110,616080,548242.4879,0.548242488,250,0.00085779,857.7901795,0.000456003,456.0026001,676478.9759,0.676478976,360,0.000532167,532.1673147,L,160772,143069.1489,0.143069149,82,807003,718142.6641,0.718142664,189,0.000573149,573.1494219,0.000263179,263.178905,861211.813,0.861211813,271,0.000314673,314.6728783,0.00071547,0.000201271,715.4698007,201.2714099,0.000359591,0.000136347,359.5907526,136.3469424,0.00042342,0.000153792,423.4200965,153.7917908
exp3,2016,run14,2016-523,R,139398,124048.6728,0.124048673,29,549610,489091.6014,0.489091601,176,0.000233779,233.7792041,0.000359851,359.8507917,613140.2742,0.613140274,205,0.000334344,334.3443721,R,204096,181622.677,0.181622677,2,564416,502267.2901,0.50226729,58,1.10E-05,11.01184078,0.000115476,115.4763632,683889.967,0.683889967,60,8.77E-05,87.73341165,0.000122396,0.00015752,122.3955225,157.5203133,0.000237664,0.000172799,237.6635775,172.7988156,0.000211039,0.00017438,211.0388919,174.3802825
exp3,2016,run14,2016-524,R,264966,235790.1881,0.235790188,56,618484,550381.7798,0.55038178,173,0.000237499,237.4992804,0.000314327,314.3272658,786171.9679,0.786171968,229,0.000291285,291.2848707,L,268339,238791.7819,0.238791782,24,757620,674197.3018,0.674197302,68,0.000100506,100.5059714,0.000100861,100.8606825,912989.0837,0.912989084,92,0.000100768,100.767908,0.000169003,9.69E-05,169.0026259,96.8688978,0.000207594,0.000150944,207.5939742,150.9436686,0.000196026,0.000134716,196.0263894,134.7158362
