Well,CO2_level,Tank,dw_mg,ID,probs
A1,amb,1A,0.043703086,100,"Dried out, don't use bc bad dw"
A2,blankamb,1A,,,
A3,amb,1A,0.113753259,101,
A4,amb,1A,0.116813363,102,
A5,amb,1A,0.0992228,103,
A6,amb,1A,0.104325131,104,
B1,high,3A,0.087094465,105,
B2,high,3A,0.099024557,106,
B3,high,3A,0.102098168,107,
B4,high,3A,0.111071183,108,
B5,blankhigh,3A,,,
B6,high,3A,0.11923361,109,
C1,high,3C,0.140858948,110,
C2,blankhigh,3C,,,
C3,high,3C,0.096553675,111,
C4,high,3C,0.129547918,112,
C5,high,3C,0.105682361,113,
C6,high,3C,0.137151552,114,
D1,amb,1C,0.140864585,115,
D2,amb,1C,0.097987923,116,
D3,amb,1C,0.130852268,117,
D4,amb,1C,0.133904282,118,
D5,amb,1C,0.125939718,119,
D6,blankamb,1C,,,
