Well,CO2_level,Tank,dw_mg
A1,blankmed,t2,
A2,med,t2,0.071235733
A3,med,t2,0.129755537
A4,med,t2,0.059928112
A5,med,t2,0.089862831
A6,blankmed,t2,
B1,amb,t8,0.081489231
B2,amb,t8,0.10368688
B3,blankamb,t8,
B4,amb,t8,0.061121301
B5,amb,t8,0.068042857
B6,blankamb,t8,
C1,high,t7,0.054105615
C2,blankhigh,t7,
C3,high,t7,0.041476555
C4,blankhigh,t7,
C5,high,t7,0.08680508
C6,high,t7,0.088968611
D1,blankamb,t1,
D2,amb,t1,0.071138319
D3,blankamb,t1,
D4,amb,t1,0.094595294
D5,amb,t1,0.088945882
D6,high,t3,0.063714715
